0,1,2,3,4,5,6,7,8,9,topic_id,topic_txt,content,score,app,label,value
0.0,0.0,0.0,0.4199247360229492,0.0,0.0,0.07063477486371994,0.18676544725894928,0.0,0.30538690090179443,3,bintang; kasih; gua; tambah; tanda; deh; kak; apk; bumble; banget,maaf kecewa aplikasi bayar premium spotlight langanan premium tidak yang minggu point henti panjang langgan masuk dalam aplikasi wifi lambat muter muter doang pakai data normal chat masuk tidak ontime tunggu menit tidak menit mnit masuk,1,bumble,negative,0.9978121519088744
0.37913382053375244,0.10070880502462387,0.012152886018157005,0.0,0.0,0.0,0.0,0.4740687608718872,0.0,0.0,7,akun; cekal; apk; masuk; verifikasi; aplikasi; login; tinder; aneh; gue,banget loading lihat list orang diswipe tidak lama doang tidak keload kali kali pindah page muncul,1,bumble,negative,0.9800233840942384
0.0,0.0,0.011331740766763687,0.0,0.9422252178192139,0.0,0.0,0.0,0.0,0.0,4,suka; kasih; terima; tinder; orang; update; aplikasi; app; blok; kalo,aplikasi lancar lelet banget banget sinyal super kencang lelet tolong baik kirim pesan dobel mulu gegara lelet,3,bumble,negative,0.999175488948822
0.0,0.0,0.013479679822921753,0.0,0.0,0.23446747660636902,0.0,0.20381565392017365,0.0,0.5147841572761536,9,bayar; batas; aplikasi; buka; langgan; premium; beli; lihat; uang; chat,halo developer langgan premium minggu bayar terima akun tidak premium coba tidak bisa tolong bantu,1,bumble,neutral,0.992270827293396
0.0,0.0,0.013170634396374226,0.0,0.17880500853061676,0.0,0.0,0.7653183937072754,0.0,0.0,7,akun; cekal; apk; masuk; verifikasi; aplikasi; login; tinder; aneh; gue,susah login nomer hp telpon bumble kode negara suruh cek nomer,1,bumble,neutral,0.999021053314209
0.15131457149982452,0.0,0.01992608793079853,0.14566068351268768,0.0,0.14301083981990814,0.17531298100948334,0.33286717534065247,0.010339373722672462,0.0,7,akun; cekal; apk; masuk; verifikasi; aplikasi; login; tinder; aneh; gue,aplikasi bantu mudah guna fitur mudah paham rekomen didownload,5,bumble,neutral,0.7235251069068909
0.0,0.0,0.01763419434428215,0.0,0.0,0.010158003307878971,0.14627669751644135,0.7840192317962646,0.0,0.0,7,akun; cekal; apk; masuk; verifikasi; aplikasi; login; tinder; aneh; gue,log out suruh verifikasi foto foto tidak bisa parah langgan,5,bumble,neutral,0.9937892556190492
0.0,0.0,0.017637178301811218,0.31017231941223145,0.0,0.010159720666706562,0.010828262194991112,0.3545137643814087,0.0,0.26814398169517517,7,akun; cekal; apk; masuk; verifikasi; aplikasi; login; tinder; aneh; gue,logout tidak bisa masuk data jamin aman tidak takut foto disalahgunakan,2,bumble,negative,0.7962622046470642
0.012389945797622204,0.0,0.026677919551730156,0.0,0.5215259790420532,0.015367553569376469,0.016377711668610573,0.02337137795984745,0.013870321214199066,0.3539389967918396,4,suka; kasih; terima; tinder; orang; update; aplikasi; app; blok; kalo,lelet nya ampun update beli premium,1,bumble,negative,0.990441083908081
0.01239610556513071,0.0,0.026742544025182724,0.0,0.0,0.01537582091987133,0.8710209727287292,0.023422833532094955,0.01387722697108984,0.01202360074967146,6,aplikasi; tinder; lumayan; orang; akun; cekal; pakai; guna; sampah; tipu,bumble load parah ya signal bagus mohon tingkat ya report tidak ada jelas,1,bumble,negative,0.9993690848350524
0.012392399832606316,0.3063156008720398,0.026683269068598747,0.18402929604053497,0.0,0.015370632521808147,0.39729633927345276,0.023369329050183296,0.013873100280761719,0.01202012225985527,6,aplikasi; tinder; lumayan; orang; akun; cekal; pakai; guna; sampah; tipu,ngelag wifi kencang paket ok,1,bumble,positive,0.9972328543663024
0.01882709190249443,0.01256386935710907,0.040538303554058075,0.01247850526124239,0.013141348026692867,0.02335169166326523,0.02488633617758751,0.035561420023441315,0.02107657864689827,0.7975748181343079,9,bayar; batas; aplikasi; buka; langgan; premium; beli; lihat; uang; chat,langgan tidak bisa suruh bayar,1,bumble,negative,0.9432415962219238
0.0,0.0,0.014383475296199322,0.30086222290992737,0.0,0.0,0.0,0.6378801465034485,0.0,0.0,7,akun; cekal; apk; masuk; verifikasi; aplikasi; login; tinder; aneh; gue,kak ya akun blokir verikasi premium tolong tidak di blok akun tidak laku langgar,1,bumble,neutral,0.9988538026809692
0.0,0.0,0.06814868003129959,0.21344533562660217,0.0,0.070430226624012,0.0,0.19672933220863342,0.0,0.43170857429504395,9,bayar; batas; aplikasi; buka; langgan; premium; beli; lihat; uang; chat,bumble tolong swipe kanan halaman cocok hilang niat kenal orang tidak sih habis rekomendasi asli tolong baru keluar duit tidak di optimal,1,bumble,negative,0.9986718893051147
